  i  Z(km)      P(bar)      T(K)  
 88 5.4236E+05 5.0101E+05 2.5595E+02
 89 4.9553E+05 5.3366E+05 2.5950E+02
 90 4.4914E+05 5.6764E+05 2.6284E+02
 91 4.0324E+05 6.0294E+05 2.6598E+02
 92 3.5791E+05 6.3955E+05 2.6893E+02
 93 3.1318E+05 6.7744E+05 2.7171E+02
 94 2.6910E+05 7.1657E+05 2.7451E+02
 95 2.2566E+05 7.5691E+05 2.7725E+02
 96 1.8291E+05 7.9841E+05 2.7987E+02
 97 1.4089E+05 8.4101E+05 2.8236E+02
 98 9.9630E+04 8.8465E+05 2.8474E+02
 99 5.9186E+04 9.2926E+05 2.8699E+02
100 1.9607E+04 9.7477E+05 2.8913E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 9.3350E-06 2.4411E-06
  2 0.0000E+00 9.3350E-06 2.6611E-06
  3 0.0000E+00 9.3350E-06 2.7820E-06
  4 0.0000E+00 9.3350E-06 2.9188E-06
  5 0.0000E+00 9.3350E-06 3.0166E-06
  6 0.0000E+00 9.3350E-06 3.1187E-06
  7 0.0000E+00 9.3350E-06 3.2217E-06
  8 0.0000E+00 9.3350E-06 3.3381E-06
  9 0.0000E+00 9.3350E-06 3.4512E-06
 10 0.0000E+00 9.3350E-06 3.5771E-06
 11 0.0000E+00 9.3350E-06 3.6973E-06
 12 0.0000E+00 9.3350E-06 3.8315E-06
 13 0.0000E+00 9.3350E-06 3.9498E-06
 14 0.0000E+00 9.3350E-06 4.0814E-06
 15 0.0000E+00 9.3350E-06 4.1931E-06
 16 0.0000E+00 9.3350E-06 4.3196E-06
 17 0.0000E+00 9.3350E-06 4.4249E-06
 18 0.0000E+00 9.3350E-06 4.5438E-06
 19 0.0000E+00 9.3350E-06 4.6350E-06
 20 0.0000E+00 9.3350E-06 4.7351E-06
 21 0.0000E+00 9.3350E-06 4.8155E-06
 22 0.0000E+00 9.3350E-06 4.8989E-06
 23 0.0000E+00 9.3350E-06 4.9593E-06
 24 0.0000E+00 9.3350E-06 5.0164E-06
 25 0.0000E+00 9.3350E-06 5.0500E-06
 26 0.0000E+00 9.3350E-06 5.0773E-06
 27 0.0000E+00 9.3350E-06 5.0867E-06
 28 0.0000E+00 9.3350E-06 5.0849E-06
 29 0.0000E+00 9.3350E-06 5.0632E-06
 30 0.0000E+00 9.3350E-06 5.0336E-06
 31 0.0000E+00 9.3350E-06 4.9934E-06
 32 0.0000E+00 9.3350E-06 4.9488E-06
 33 0.0000E+00 9.3350E-06 4.8995E-06
 34 0.0000E+00 9.3350E-06 4.8472E-06
 35 0.0000E+00 9.3350E-06 4.7930E-06
 36 0.0000E+00 9.3350E-06 4.7377E-06
 37 0.0000E+00 9.3350E-06 4.6880E-06
 38 0.0000E+00 9.3350E-06 4.6340E-06
 39 0.0000E+00 9.3350E-06 4.5870E-06
 40 0.0000E+00 9.3350E-06 4.5341E-06
 41 0.0000E+00 9.3350E-06 4.4914E-06
 42 0.0000E+00 9.3350E-06 4.4470E-06
 43 0.0000E+00 9.3350E-06 4.4065E-06
 44 0.0000E+00 9.3350E-06 4.3772E-06
 45 0.0000E+00 9.3350E-06 4.3444E-06
 46 0.0000E+00 9.3350E-06 4.3214E-06
 47 0.0000E+00 9.3350E-06 4.3002E-06
 48 0.0000E+00 9.3350E-06 4.2765E-06
 49 0.0000E+00 9.3350E-06 4.2475E-06
 50 0.0000E+00 9.3350E-06 4.2154E-06
 51 0.0000E+00 9.3350E-06 4.1796E-06
 52 0.0000E+00 9.3350E-06 4.1365E-06
 53 0.0000E+00 9.3350E-06 4.0889E-06
 54 0.0000E+00 9.3350E-06 4.0363E-06
 55 0.0000E+00 9.3350E-06 3.9784E-06
 56 0.0000E+00 9.3350E-06 3.9148E-06
 57 0.0000E+00 9.3350E-06 3.8450E-06
 58 0.0000E+00 9.3350E-06 3.7797E-06
 59 0.0000E+00 9.3350E-06 3.7145E-06
 60 0.0000E+00 9.3350E-06 3.6432E-06
 61 0.0000E+00 9.3350E-06 3.6151E-06
 62 0.0000E+00 9.3350E-06 3.7353E-06
 63 0.0000E+00 9.3350E-06 3.8660E-06
 64 0.0000E+00 9.3350E-06 4.0079E-06
 65 0.0000E+00 9.3350E-06 4.2449E-06
 66 0.0000E+00 9.3350E-06 4.5346E-06
 67 0.0000E+00 9.3350E-06 4.8476E-06
 68 0.0000E+00 9.3350E-06 5.1985E-06
 69 0.0000E+00 9.3350E-06 5.7906E-06
 70 0.0000E+00 9.3350E-06 6.4272E-06
 71 0.0000E+00 9.3350E-06 7.1109E-06
 72 0.0000E+00 9.3350E-06 8.1989E-06
 73 0.0000E+00 9.3350E-06 1.0428E-05
 74 0.0000E+00 9.3350E-06 1.2808E-05
 75 0.0000E+00 9.3350E-06 1.5345E-05
 76 0.0000E+00 9.3350E-06 2.0776E-05
 77 1.0660E-02 1.0684E-02 3.2604E-05
 78 1.0673E-02 1.0704E-02 4.5146E-05
 79 1.0674E-02 1.0725E-02 5.8434E-05
 80 1.0661E-02 1.0747E-02 8.3288E-05
 81 1.0629E-02 1.0769E-02 1.3739E-04
 82 1.0570E-02 1.0792E-02 1.9438E-04
 83 1.0474E-02 1.0815E-02 2.5429E-04
 84 1.0328E-02 1.0839E-02 3.3224E-04
 85 1.0123E-02 1.0863E-02 4.7307E-04
 86 9.8485E-03 1.0888E-02 6.2029E-04
 87 9.4972E-03 1.0913E-02 7.7397E-04
 88 9.0660E-03 1.0938E-02 9.3730E-04
 89 8.5546E-03 1.0964E-02 1.1738E-03
 90 7.9657E-03 1.0989E-02 1.4192E-03
 91 7.3038E-03 1.1014E-02 1.6734E-03
 92 6.5744E-03 1.1039E-02 1.9362E-03
 93 5.7423E-03 1.1063E-02 3.1785E-03
 94 4.9418E-03 1.1086E-02 4.8926E-03
 95 4.0819E-03 1.1109E-02 6.6544E-03
 96 3.1814E-03 1.1128E-02 8.4611E-03
 97 2.2476E-03 1.1142E-02 1.0265E-02
 98 1.2898E-03 1.1150E-02 1.0265E-02
 99 3.1916E-04 1.1154E-02 1.0265E-02
100 0.0000E+00 1.1155E-02 1.0265E-02

  i  Z(km)      P(bar)      T(K)  
  1 7.9227E+06 1.0000E+01 2.0838E+02
  2 7.8095E+06 1.2023E+01 2.0591E+02
  3 7.6978E+06 1.4436E+01 2.0621E+02
  4 7.5864E+06 1.7308E+01 2.0778E+02
  5 7.4750E+06 2.0724E+01 2.0980E+02
  6 7.3634E+06 2.4778E+01 2.1199E+02
  7 7.2515E+06 2.9585E+01 2.1431E+02
  8 7.1393E+06 3.5275E+01 2.1671E+02
  9 7.0268E+06 4.2001E+01 2.1916E+02
 10 6.9140E+06 4.9940E+01 2.2162E+02
 11 6.8009E+06 5.9296E+01 2.2405E+02
 12 6.6875E+06 7.0308E+01 2.2644E+02
 13 6.5739E+06 8.3249E+01 2.2875E+02
 14 6.4602E+06 9.8434E+01 2.3099E+02
 15 6.3464E+06 1.1623E+02 2.3315E+02
 16 6.2326E+06 1.3705E+02 2.3524E+02
 17 6.1187E+06 1.6137E+02 2.3726E+02
 18 6.0050E+06 1.8974E+02 2.3922E+02
 19 5.8913E+06 2.2280E+02 2.4114E+02
 20 5.7778E+06 2.6125E+02 2.4301E+02
 21 5.6644E+06 3.0590E+02 2.4485E+02
 22 5.5513E+06 3.5770E+02 2.4667E+02
 23 5.4384E+06 4.1768E+02 2.4846E+02
 24 5.3257E+06 4.8703E+02 2.5023E+02
 25 5.2133E+06 5.6712E+02 2.5198E+02
 26 5.1012E+06 6.5945E+02 2.5372E+02
 27 4.9895E+06 7.6576E+02 2.5544E+02
 28 4.8780E+06 8.8796E+02 2.5714E+02
 29 4.7670E+06 1.0282E+03 2.5882E+02
 30 4.6563E+06 1.1890E+03 2.6049E+02
 31 4.5460E+06 1.3730E+03 2.6228E+02
 32 4.4361E+06 1.5833E+03 2.6371E+02
 33 4.3270E+06 1.8232E+03 2.6419E+02
 34 4.2190E+06 2.0965E+03 2.6363E+02
 35 4.1125E+06 2.4075E+03 2.6218E+02
 36 4.0078E+06 2.7608E+03 2.6012E+02
 37 3.9051E+06 3.1615E+03 2.5765E+02
 38 3.8046E+06 3.6153E+03 2.5491E+02
 39 3.7062E+06 4.1285E+03 2.5199E+02
 40 3.6100E+06 4.7081E+03 2.4895E+02
 41 3.5161E+06 5.3614E+03 2.4589E+02
 42 3.4243E+06 6.0970E+03 2.4289E+02
 43 3.3346E+06 6.9239E+03 2.4004E+02
 44 3.2470E+06 7.8519E+03 2.3740E+02
 45 3.1613E+06 8.8919E+03 2.3501E+02
 46 3.0773E+06 1.0056E+04 2.3292E+02
 47 2.9951E+06 1.1356E+04 2.3115E+02
 48 2.9143E+06 1.2806E+04 2.2967E+02
 49 2.8350E+06 1.4422E+04 2.2843E+02
 50 2.7570E+06 1.6219E+04 2.2738E+02
 51 2.6804E+06 1.8215E+04 2.2648E+02
 52 2.6049E+06 2.0427E+04 2.2569E+02
 53 2.5306E+06 2.2877E+04 2.2500E+02
 54 2.4575E+06 2.5584E+04 2.2439E+02
 55 2.3855E+06 2.8572E+04 2.2384E+02
 56 2.3146E+06 3.1865E+04 2.2334E+02
 57 2.2447E+06 3.5488E+04 2.2290E+02
 58 2.1759E+06 3.9468E+04 2.2253E+02
 59 2.1082E+06 4.3833E+04 2.2221E+02
 60 2.0414E+06 4.8612E+04 2.2196E+02
 61 1.9756E+06 5.3839E+04 2.2175E+02
 62 1.9109E+06 5.9544E+04 2.2154E+02
 63 1.8470E+06 6.5761E+04 2.2129E+02
 64 1.7842E+06 7.2527E+04 2.2095E+02
 65 1.7224E+06 7.9878E+04 2.2052E+02
 66 1.6617E+06 8.7852E+04 2.1995E+02
 67 1.6020E+06 9.6487E+04 2.1922E+02
 68 1.5435E+06 1.0582E+05 2.1830E+02
 69 1.4861E+06 1.1590E+05 2.1724E+02
 70 1.4299E+06 1.2676E+05 2.1608E+02
 71 1.3749E+06 1.3845E+05 2.1484E+02
 72 1.3211E+06 1.5100E+05 2.1359E+02
 73 1.2685E+06 1.6447E+05 2.1242E+02
 74 1.2170E+06 1.7888E+05 2.1162E+02
 75 1.1665E+06 1.9428E+05 2.1099E+02
 76 1.1169E+06 2.1072E+05 2.1100E+02
 77 1.0682E+06 2.2824E+05 2.1130E+02
 78 1.0202E+06 2.4686E+05 2.1258E+02
 79 9.7246E+05 2.6663E+05 2.1672E+02
 80 9.2462E+05 2.8759E+05 2.2139E+02
 81 8.7667E+05 3.0976E+05 2.2605E+02
 82 8.2867E+05 3.3317E+05 2.3068E+02
 83 7.8064E+05 3.5786E+05 2.3524E+02
 84 7.3266E+05 3.8384E+05 2.3971E+02
 85 6.8477E+05 4.1113E+05 2.4404E+02
 86 6.3704E+05 4.3975E+05 2.4821E+02
 87 5.8955E+05 4.6971E+05 2.5218E+02
 88 5.4235E+05 5.0101E+05 2.5595E+02
 89 4.9552E+05 5.3366E+05 2.5950E+02
 90 4.4913E+05 5.6764E+05 2.6283E+02
 91 4.0324E+05 6.0294E+05 2.6597E+02
 92 3.5790E+05 6.3955E+05 2.6893E+02
 93 3.1318E+05 6.7744E+05 2.7170E+02
 94 2.6910E+05 7.1657E+05 2.7451E+02
 95 2.2566E+05 7.5691E+05 2.7725E+02
 96 1.8291E+05 7.9841E+05 2.7987E+02
 97 1.4089E+05 8.4101E+05 2.8236E+02
 98 9.9631E+04 8.8465E+05 2.8474E+02
 99 5.9186E+04 9.2926E+05 2.8699E+02
100 1.9607E+04 9.7477E+05 2.8913E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 7.7911E-06 2.4411E-06
  2 0.0000E+00 7.7911E-06 2.6611E-06
  3 0.0000E+00 7.7911E-06 2.7820E-06
  4 0.0000E+00 7.7911E-06 2.9188E-06
  5 0.0000E+00 7.7911E-06 3.0166E-06
  6 0.0000E+00 7.7911E-06 3.1187E-06
  7 0.0000E+00 7.7911E-06 3.2217E-06
  8 0.0000E+00 7.7911E-06 3.3381E-06
  9 0.0000E+00 7.7911E-06 3.4512E-06
 10 0.0000E+00 7.7911E-06 3.5771E-06
 11 0.0000E+00 7.7911E-06 3.6973E-06
 12 0.0000E+00 7.7911E-06 3.8315E-06
 13 0.0000E+00 7.7911E-06 3.9498E-06
 14 0.0000E+00 7.7911E-06 4.0814E-06
 15 0.0000E+00 7.7911E-06 4.1931E-06
 16 0.0000E+00 7.7911E-06 4.3196E-06
 17 0.0000E+00 7.7911E-06 4.4249E-06
 18 0.0000E+00 7.7911E-06 4.5438E-06
 19 0.0000E+00 7.7911E-06 4.6350E-06
 20 0.0000E+00 7.7911E-06 4.7351E-06
 21 0.0000E+00 7.7911E-06 4.8155E-06
 22 0.0000E+00 7.7911E-06 4.8989E-06
 23 0.0000E+00 7.7911E-06 4.9593E-06
 24 0.0000E+00 7.7911E-06 5.0164E-06
 25 0.0000E+00 7.7911E-06 5.0500E-06
 26 0.0000E+00 7.7911E-06 5.0773E-06
 27 0.0000E+00 7.7911E-06 5.0867E-06
 28 0.0000E+00 7.7911E-06 5.0849E-06
 29 0.0000E+00 7.7911E-06 5.0632E-06
 30 0.0000E+00 7.7911E-06 5.0336E-06
 31 0.0000E+00 7.7911E-06 4.9934E-06
 32 0.0000E+00 7.7911E-06 4.9488E-06
 33 0.0000E+00 7.7911E-06 4.8995E-06
 34 0.0000E+00 7.7911E-06 4.8472E-06
 35 0.0000E+00 7.7911E-06 4.7930E-06
 36 0.0000E+00 7.7911E-06 4.7377E-06
 37 0.0000E+00 7.7911E-06 4.6880E-06
 38 0.0000E+00 7.7911E-06 4.6340E-06
 39 0.0000E+00 7.7911E-06 4.5870E-06
 40 0.0000E+00 7.7911E-06 4.5341E-06
 41 0.0000E+00 7.7911E-06 4.4914E-06
 42 0.0000E+00 7.7911E-06 4.4470E-06
 43 0.0000E+00 7.7911E-06 4.4065E-06
 44 0.0000E+00 7.7911E-06 4.3772E-06
 45 0.0000E+00 7.7911E-06 4.3444E-06
 46 0.0000E+00 7.7911E-06 4.3214E-06
 47 0.0000E+00 7.7911E-06 4.3002E-06
 48 0.0000E+00 7.7911E-06 4.2765E-06
 49 0.0000E+00 7.7911E-06 4.2475E-06
 50 0.0000E+00 7.7911E-06 4.2154E-06
 51 0.0000E+00 7.7911E-06 4.1796E-06
 52 0.0000E+00 7.7911E-06 4.1365E-06
 53 0.0000E+00 7.7911E-06 4.0889E-06
 54 0.0000E+00 7.7911E-06 4.0363E-06
 55 0.0000E+00 7.7911E-06 3.9784E-06
 56 0.0000E+00 7.7911E-06 3.9148E-06
 57 0.0000E+00 7.7911E-06 3.8450E-06
 58 0.0000E+00 7.7911E-06 3.7797E-06
 59 0.0000E+00 7.7911E-06 3.7145E-06
 60 0.0000E+00 7.7911E-06 3.6432E-06
 61 0.0000E+00 7.7911E-06 3.6151E-06
 62 0.0000E+00 7.7911E-06 3.7353E-06
 63 0.0000E+00 7.7911E-06 3.8660E-06
 64 0.0000E+00 7.7911E-06 4.0079E-06
 65 0.0000E+00 7.7911E-06 4.2449E-06
 66 0.0000E+00 7.7911E-06 4.5346E-06
 67 0.0000E+00 7.7911E-06 4.8476E-06
 68 0.0000E+00 7.7911E-06 5.1985E-06
 69 0.0000E+00 7.7911E-06 5.7906E-06
 70 0.0000E+00 7.7911E-06 6.4272E-06
 71 0.0000E+00 7.7911E-06 7.1109E-06
 72 0.0000E+00 7.7911E-06 8.1989E-06
 73 0.0000E+00 7.7911E-06 1.0428E-05
 74 0.0000E+00 7.7911E-06 1.2808E-05
 75 0.0000E+00 7.7911E-06 1.5345E-05
 76 1.0641E-02 1.0664E-02 2.0776E-05
 77 1.0660E-02 1.0684E-02 3.2604E-05
 78 1.0673E-02 1.0705E-02 4.5146E-05
 79 1.0674E-02 1.0726E-02 5.8434E-05
 80 1.0661E-02 1.0747E-02 8.3288E-05
 81 1.0629E-02 1.0769E-02 1.3739E-04
 82 1.0570E-02 1.0792E-02 1.9438E-04
 83 1.0473E-02 1.0815E-02 2.5429E-04
 84 1.0328E-02 1.0839E-02 3.3224E-04
 85 1.0123E-02 1.0863E-02 4.7307E-04
 86 9.8484E-03 1.0888E-02 6.2029E-04
 87 9.4975E-03 1.0913E-02 7.7397E-04
 88 9.0667E-03 1.0938E-02 9.3730E-04
 89 8.5557E-03 1.0964E-02 1.1738E-03
 90 7.9672E-03 1.0989E-02 1.4192E-03
 91 7.3054E-03 1.1014E-02 1.6734E-03
 92 6.5760E-03 1.1039E-02 1.9362E-03
 93 5.7438E-03 1.1063E-02 3.1785E-03
 94 4.9430E-03 1.1086E-02 4.8926E-03
 95 4.0828E-03 1.1109E-02 6.6544E-03
 96 3.1821E-03 1.1128E-02 8.4611E-03
 97 2.2481E-03 1.1142E-02 1.0265E-02
 98 1.2901E-03 1.1151E-02 1.0265E-02
 99 3.1924E-04 1.1155E-02 1.0265E-02
100 0.0000E+00 1.1155E-02 1.0265E-02

  i  Z(km)      P(bar)      T(K)  
  1 7.9226E+06 1.0000E+01 2.0831E+02
  2 7.8095E+06 1.2023E+01 2.0588E+02
  3 7.6977E+06 1.4436E+01 2.0620E+02
  4 7.5864E+06 1.7308E+01 2.0777E+02
  5 7.4750E+06 2.0724E+01 2.0979E+02
  6 7.3634E+06 2.4778E+01 2.1198E+02
  7 7.2515E+06 2.9585E+01 2.1430E+02
  8 7.1394E+06 3.5275E+01 2.1670E+02
  9 7.0269E+06 4.2001E+01 2.1915E+02
 10 6.9140E+06 4.9940E+01 2.2161E+02
 11 6.8009E+06 5.9296E+01 2.2405E+02
 12 6.6875E+06 7.0308E+01 2.2644E+02
 13 6.5740E+06 8.3249E+01 2.2875E+02
 14 6.4602E+06 9.8434E+01 2.3099E+02
 15 6.3464E+06 1.1623E+02 2.3315E+02
 16 6.2326E+06 1.3705E+02 2.3524E+02
 17 6.1188E+06 1.6137E+02 2.3726E+02
 18 6.0050E+06 1.8974E+02 2.3922E+02
 19 5.8913E+06 2.2280E+02 2.4114E+02
 20 5.7778E+06 2.6125E+02 2.4301E+02
 21 5.6645E+06 3.0590E+02 2.4485E+02
 22 5.5513E+06 3.5770E+02 2.4667E+02
 23 5.4384E+06 4.1768E+02 2.4846E+02
 24 5.3257E+06 4.8703E+02 2.5023E+02
 25 5.2134E+06 5.6712E+02 2.5198E+02
 26 5.1013E+06 6.5945E+02 2.5372E+02
 27 4.9895E+06 7.6576E+02 2.5544E+02
 28 4.8781E+06 8.8796E+02 2.5714E+02
 29 4.7670E+06 1.0282E+03 2.5882E+02
 30 4.6563E+06 1.1890E+03 2.6049E+02
 31 4.5460E+06 1.3730E+03 2.6228E+02
 32 4.4362E+06 1.5833E+03 2.6371E+02
 33 4.3270E+06 1.8232E+03 2.6419E+02
 34 4.2190E+06 2.0965E+03 2.6363E+02
 35 4.1125E+06 2.4075E+03 2.6218E+02
 36 4.0078E+06 2.7608E+03 2.6012E+02
 37 3.9052E+06 3.1615E+03 2.5765E+02
 38 3.8046E+06 3.6153E+03 2.5491E+02
 39 3.7062E+06 4.1285E+03 2.5199E+02
 40 3.6101E+06 4.7081E+03 2.4895E+02
 41 3.5161E+06 5.3614E+03 2.4589E+02
 42 3.4243E+06 6.0970E+03 2.4289E+02
 43 3.3347E+06 6.9239E+03 2.4004E+02
 44 3.2470E+06 7.8519E+03 2.3740E+02
 45 3.1613E+06 8.8919E+03 2.3501E+02
 46 3.0774E+06 1.0056E+04 2.3292E+02
 47 2.9951E+06 1.1356E+04 2.3115E+02
 48 2.9143E+06 1.2806E+04 2.2967E+02
 49 2.8350E+06 1.4422E+04 2.2843E+02
 50 2.7571E+06 1.6219E+04 2.2738E+02
 51 2.6804E+06 1.8215E+04 2.2648E+02
 52 2.6049E+06 2.0427E+04 2.2569E+02
 53 2.5306E+06 2.2877E+04 2.2500E+02
 54 2.4575E+06 2.5584E+04 2.2439E+02
 55 2.3855E+06 2.8572E+04 2.2384E+02
 56 2.3146E+06 3.1865E+04 2.2335E+02
 57 2.2447E+06 3.5488E+04 2.2291E+02
 58 2.1760E+06 3.9468E+04 2.2253E+02
 59 2.1082E+06 4.3833E+04 2.2222E+02
 60 2.0414E+06 4.8612E+04 2.2196E+02
 61 1.9757E+06 5.3839E+04 2.2175E+02
 62 1.9109E+06 5.9544E+04 2.2154E+02
 63 1.8470E+06 6.5761E+04 2.2129E+02
 64 1.7842E+06 7.2527E+04 2.2096E+02
 65 1.7224E+06 7.9878E+04 2.2052E+02
 66 1.6617E+06 8.7852E+04 2.1996E+02
 67 1.6020E+06 9.6487E+04 2.1922E+02
 68 1.5435E+06 1.0582E+05 2.1830E+02
 69 1.4861E+06 1.1590E+05 2.1724E+02
 70 1.4299E+06 1.2676E+05 2.1608E+02
 71 1.3749E+06 1.3845E+05 2.1485E+02
 72 1.3211E+06 1.5100E+05 2.1357E+02
 73 1.2685E+06 1.6447E+05 2.1247E+02
 74 1.2170E+06 1.7888E+05 2.1156E+02
 75 1.1665E+06 1.9428E+05 2.1105E+02
 76 1.1169E+06 2.1072E+05 2.1092E+02
 77 1.0682E+06 2.2824E+05 2.1149E+02
 78 1.0202E+06 2.4686E+05 2.1234E+02
 79 9.7248E+05 2.6663E+05 2.1673E+02
 80 9.2464E+05 2.8759E+05 2.2140E+02
 81 8.7669E+05 3.0976E+05 2.2606E+02
 82 8.2868E+05 3.3317E+05 2.3069E+02
 83 7.8065E+05 3.5786E+05 2.3525E+02
 84 7.3266E+05 3.8384E+05 2.3972E+02
 85 6.8477E+05 4.1113E+05 2.4405E+02
 86 6.3705E+05 4.3975E+05 2.4822E+02
 87 5.8955E+05 4.6971E+05 2.5219E+02
 88 5.4235E+05 5.0101E+05 2.5595E+02
 89 4.9552E+05 5.3366E+05 2.5950E+02
 90 4.4913E+05 5.6764E+05 2.6284E+02
 91 4.0324E+05 6.0294E+05 2.6597E+02
 92 3.5790E+05 6.3955E+05 2.6893E+02
 93 3.1318E+05 6.7744E+05 2.7170E+02
 94 2.6909E+05 7.1657E+05 2.7451E+02
 95 2.2566E+05 7.5691E+05 2.7725E+02
 96 1.8291E+05 7.9841E+05 2.7987E+02
 97 1.4089E+05 8.4101E+05 2.8236E+02
 98 9.9630E+04 8.8465E+05 2.8474E+02
 99 5.9186E+04 9.2926E+05 2.8699E+02
100 1.9607E+04 9.7477E+05 2.8913E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 9.3350E-06 2.4411E-06
  2 0.0000E+00 9.3350E-06 2.6611E-06
  3 0.0000E+00 9.3350E-06 2.7820E-06
  4 0.0000E+00 9.3350E-06 2.9188E-06
  5 0.0000E+00 9.3350E-06 3.0166E-06
  6 0.0000E+00 9.3350E-06 3.1187E-06
  7 0.0000E+00 9.3350E-06 3.2217E-06
  8 0.0000E+00 9.3350E-06 3.3381E-06
  9 0.0000E+00 9.3350E-06 3.4512E-06
 10 0.0000E+00 9.3350E-06 3.5771E-06
 11 0.0000E+00 9.3350E-06 3.6973E-06
 12 0.0000E+00 9.3350E-06 3.8315E-06
 13 0.0000E+00 9.3350E-06 3.9498E-06
 14 0.0000E+00 9.3350E-06 4.0814E-06
 15 0.0000E+00 9.3350E-06 4.1931E-06
 16 0.0000E+00 9.3350E-06 4.3196E-06
 17 0.0000E+00 9.3350E-06 4.4249E-06
 18 0.0000E+00 9.3350E-06 4.5438E-06
 19 0.0000E+00 9.3350E-06 4.6350E-06
 20 0.0000E+00 9.3350E-06 4.7351E-06
 21 0.0000E+00 9.3350E-06 4.8155E-06
 22 0.0000E+00 9.3350E-06 4.8989E-06
 23 0.0000E+00 9.3350E-06 4.9593E-06
 24 0.0000E+00 9.3350E-06 5.0164E-06
 25 0.0000E+00 9.3350E-06 5.0500E-06
 26 0.0000E+00 9.3350E-06 5.0773E-06
 27 0.0000E+00 9.3350E-06 5.0867E-06
 28 0.0000E+00 9.3350E-06 5.0849E-06
 29 0.0000E+00 9.3350E-06 5.0632E-06
 30 0.0000E+00 9.3350E-06 5.0336E-06
 31 0.0000E+00 9.3350E-06 4.9934E-06
 32 0.0000E+00 9.3350E-06 4.9488E-06
 33 0.0000E+00 9.3350E-06 4.8995E-06
 34 0.0000E+00 9.3350E-06 4.8472E-06
 35 0.0000E+00 9.3350E-06 4.7930E-06
 36 0.0000E+00 9.3350E-06 4.7377E-06
 37 0.0000E+00 9.3350E-06 4.6880E-06
 38 0.0000E+00 9.3350E-06 4.6340E-06
 39 0.0000E+00 9.3350E-06 4.5870E-06
 40 0.0000E+00 9.3350E-06 4.5341E-06
 41 0.0000E+00 9.3350E-06 4.4914E-06
 42 0.0000E+00 9.3350E-06 4.4470E-06
 43 0.0000E+00 9.3350E-06 4.4065E-06
 44 0.0000E+00 9.3350E-06 4.3772E-06
 45 0.0000E+00 9.3350E-06 4.3444E-06
 46 0.0000E+00 9.3350E-06 4.3214E-06
 47 0.0000E+00 9.3350E-06 4.3002E-06
 48 0.0000E+00 9.3350E-06 4.2765E-06
 49 0.0000E+00 9.3350E-06 4.2475E-06
 50 0.0000E+00 9.3350E-06 4.2154E-06
 51 0.0000E+00 9.3350E-06 4.1796E-06
 52 0.0000E+00 9.3350E-06 4.1365E-06
 53 0.0000E+00 9.3350E-06 4.0889E-06
 54 0.0000E+00 9.3350E-06 4.0363E-06
 55 0.0000E+00 9.3350E-06 3.9784E-06
 56 0.0000E+00 9.3350E-06 3.9148E-06
 57 0.0000E+00 9.3350E-06 3.8450E-06
 58 0.0000E+00 9.3350E-06 3.7797E-06
 59 0.0000E+00 9.3350E-06 3.7145E-06
 60 0.0000E+00 9.3350E-06 3.6432E-06
 61 0.0000E+00 9.3350E-06 3.6151E-06
 62 0.0000E+00 9.3350E-06 3.7353E-06
 63 0.0000E+00 9.3350E-06 3.8660E-06
 64 0.0000E+00 9.3350E-06 4.0079E-06
 65 0.0000E+00 9.3350E-06 4.2449E-06
 66 0.0000E+00 9.3350E-06 4.5346E-06
 67 0.0000E+00 9.3350E-06 4.8476E-06
 68 0.0000E+00 9.3350E-06 5.1985E-06
 69 0.0000E+00 9.3350E-06 5.7906E-06
 70 0.0000E+00 9.3350E-06 6.4272E-06
 71 0.0000E+00 9.3350E-06 7.1109E-06
 72 0.0000E+00 9.3350E-06 8.1989E-06
 73 0.0000E+00 9.3350E-06 1.0428E-05
 74 0.0000E+00 9.3350E-06 1.2808E-05
 75 0.0000E+00 9.3350E-06 1.5345E-05
 76 0.0000E+00 9.3350E-06 2.0776E-05
 77 1.0660E-02 1.0684E-02 3.2604E-05
 78 1.0673E-02 1.0704E-02 4.5146E-05
 79 1.0673E-02 1.0725E-02 5.8434E-05
 80 1.0660E-02 1.0747E-02 8.3288E-05
 81 1.0628E-02 1.0769E-02 1.3739E-04
 82 1.0569E-02 1.0791E-02 1.9438E-04
 83 1.0472E-02 1.0815E-02 2.5429E-04
 84 1.0327E-02 1.0838E-02 3.3224E-04
 85 1.0122E-02 1.0863E-02 4.7307E-04
 86 9.8474E-03 1.0887E-02 6.2029E-04
 87 9.4965E-03 1.0913E-02 7.7397E-04
 88 9.0657E-03 1.0938E-02 9.3730E-04
 89 8.5549E-03 1.0963E-02 1.1738E-03
 90 7.9664E-03 1.0989E-02 1.4192E-03
 91 7.3048E-03 1.1014E-02 1.6734E-03
 92 6.5756E-03 1.1039E-02 1.9362E-03
 93 5.7436E-03 1.1063E-02 3.1785E-03
 94 4.9429E-03 1.1086E-02 4.8926E-03
 95 4.0828E-03 1.1108E-02 6.6544E-03
 96 3.1821E-03 1.1127E-02 8.4611E-03
 97 2.2481E-03 1.1141E-02 1.0265E-02
 98 1.2901E-03 1.1150E-02 1.0265E-02
 99 3.1924E-04 1.1154E-02 1.0265E-02
